comment_id,text,intent,sentiment
comment_000001,Spil ukuran s dong kak yg spider,size_inquiry,neutral
comment_000002,oke kak makasih,not_relevant,positive
comment_000003,kak kalo buat BB 100+ bisa ga kak?,size_recommendation,neutral
comment_000004,bahan buat T shirt,product_inquiry,neutral
comment_000005,kalo TB 140 BB 41 ukuran apa kak,size_recommendation,neutral
comment_000006,bahan kaos apa kak?,product_inquiry,neutral
comment_000013,kaos untuk bb 77 tb 172 kak uk apa ya?,size_recommendation,neutral
comment_000014,spil yg ukuran m kak,size_inquiry,neutral
comment_000015,Oky kak yg spider ukuran s pas kan TB 140 TB 41,size_recommendation,neutral
comment_000016,ka bener ga si harganya segitu,price_inquiry,neutral
comment_000017,etalase 3 ka,product_inquiry,neutral
comment_000018,tb 180 BB 89,size_recommendation,neutral
comment_000019,tb 150 bb 53 size apa ka,size_recommendation,neutral
comment_000020,aku co yg size l tpi ka hhe,purchase_intent,neutral
comment_000021,yg spiderman bb 95 bisa ga kk?,size_recommendation,neutral
comment_000023,tb 177 bb 77,size_recommendation,neutral
comment_000024,belakangnya gmna ka,not_relevant,neutral
comment_000025,yg di pake ukuran apa ka,size_inquiry,neutral
comment_000026,tb 160 bb 70 uk apa?,size_recommendation,neutral
comment_000027,kak cirengnya redygak,not_relevant,neutral
comment_000028,et 1 tb 160 bb 70 uk apa kak,size_recommendation,neutral
comment_000030,kak BB 75 tinggi 173 ambil apa ya,size_recommendation,neutral
comment_000031,"Bb 55, tinggi 170’an uk apa ka",size_recommendation,neutral
comment_000032,Bb 100 tinggi 175 pake uk apa ka,size_recommendation,neutral
comment_000033,Iya bep,not_relevant,neutral
comment_000034,kak sepil eta 2,product_inquiry,neutral
comment_000035,tb 170.bb 85 uk berapa,size_recommendation,neutral
comment_000036,udah co eta 2,purchase_intent,neutral
comment_000037,baju yang spiderman kak spil,product_inquiry,neutral
comment_000038,et 19 kk,product_inquiry,neutral
comment_000039,BB 65 kk,size_recommendation,neutral
comment_000040,udah co kk eta 19,purchase_intent,neutral
comment_000041,udah co 3 kak,purchase_intent,neutral
comment_000042,kk eta 2 untuk bb 63 ambil xl kegedean gk?,size_recommendation,neutral
comment_000043,itu bahan yg spiderman apa,product_inquiry,neutral
comment_000045,Bahan apan?,product_inquiry,neutral
comment_000046,sya 68,not_relevant,neutral
comment_000048,68 ambil ukuran apa,size_recommendation,neutral
comment_000050,@💅🏻✨🦩 okkkoooooo,not_relevant,neutral
comment_000051,ka ini kmrn udh co 2 tp dateng nya ko 1 doang ya,purchase_intent,negative
comment_000052,bb 50 tb 170 apa,size_recommendation,neutral
comment_000053,sablon yg di blkang et brpa aj kk,product_inquiry,neutral
comment_000054,spil eta 5 kak,product_inquiry,neutral
comment_000055,Hitam polos,color_inquiry,neutral
comment_000056,kakanya pake uk apa?,size_inquiry,neutral
comment_000057,kk sepil eta 31,product_inquiry,neutral
comment_000058,udah kak aku CO yg spiderman,purchase_intent,neutral
comment_000059,aku udh co 2 kk,purchase_intent,neutral
